wav_filename,wav_filesize,transcript
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/03ab970a5bf5410bc3260b073cce1c7f49c688ace83dc8836b1c0f79a09fea45a27725c769f4a9d2e6181defd016d22642789d7ac51da252b42958a9192bd4c7.wav,175916,gerrit erinnerte sich daran dass er einst einen eid geschworen hatte
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/aff5903c239ef9905635a479b2a04c086c0decf1d1ad3c9ada636406219064976a524f6e047ce247c872232e2a535af3ac39572d4946c34aba1beeea6177ad67.wav,158252,wenn man schnell fährt ist man von emden nach landshut nicht lange unterwegs
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/4854368d6d21cb44103e432b5332f31e8d14030582a40850501bcf9377d699314a5ff27a8206fa89254ddde7f3f1c65d33836f3dfcfa16bcabec08537f2b5f08.wav,104492,valentin hat das handtuch geworfen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/c4a94df443ad5f2c7241413ef7145d5f0de41ae929759073917fe96166da3c7d3a612c920ed7b0f3d5950a38d6205e9dba24af5bfb27e390a220d004e6e26744.wav,161324,auf das was jetzt kommt habe ich nämlich absolut keinen bock
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/5d4458bf7fad1628df011a3a92cea817c161c5bb918290ce63e2c0adf6f522e68b168f7cf3b84eb199a2d6fb1fb3872ba2ad587935cf9ead8e912b70f0d2cff5.wav,154412,ich könnte eine mitfahrgelegenheit nach schweinfurt anbieten
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/21fce545b24d9a5af0403b949e95e8dd3c10c4ff3e371f14e4d5b4ebf588670b7c9e618285fc872d94a89ed7f0217d9019fe5de33f1577b49dcd518eacf63c4b.wav,175916,man sollte den länderfinanzausgleich durch einen bundesligasoli ersetzen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/104695983b1112229b4a48696405d044dad9ddef713aa6eb1a6240cc16b7b7a2a96354ae9da99783850dde08a982091e48d3037288a3a58269cac9fe70a6bd7a.wav,135212,von salzburg ist es doch nicht weit bis zum chiemsee
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/4f957073c310303635992f985a4823a9a17e4e7c073fa0237d387e202fc1398f6f73c18a84d7e628615c5a8f9f298047a4e974c0ff325c0fbfedf625589e05d0.wav,169004,selbst für den erfahrensten chirurgen ist der tumor eine knifflige herausforderung
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/42758baa4e91ef6b82b78b11a04bc5117a035a8d3bc42c33c0bb3084909af17043a194cfd8cd9839f0d6ef1ea5413acda5de5d1936abcc8ca073e2da7f9488ea.wav,214316,folgende lektüre kann ich ihnen zum thema kognitionspsychologie empfehlen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/ad2f69e053b0e20e01c82b9821fe5787f1cc8e4b0b97f0e4cab1e9a652c577169c8244fb222281a60ee3081854014113e04c4ca43643100b7c01dab0fac11974.wav,159020,warum werden da keine strafrechtlichen konsequenzen gezogen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/c30ad27c094bc3423d95b9cab19cd6a43e53d3b8aac4104907d42f5db3fa634fbae05fd631e4b30eac02d5f0c6b4234777c87724e50178f46d95abe8647bd8fd.wav,95276,dankeschön für den wertvollen tipp
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/a841a9f3e032495dd47560e65fba99eeacb3618c07de8b1351c20188e5b71e33cc52f73315f721a3a24b65763c65bb52fbf3ae052eb5774e834dcb57f296db5c.wav,171308,ohne gehörschutz bei der arbeit wäre klaus wohl nach zwei wochen taub
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/478f172c2dbda6675247e9674ade79a5b49efeefb7c9e99040dcc69a847a01d69398cf180570859b0cdb6fc887717e04cd8b149c723d48d00b5d18f41314667c.wav,142892,touristen winkten den leuten am ufer zu
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/d05a0feca8b30234144d563172100d78a85748d9e79a8416aa21ecdc01b0d961c1083479a7b86c10829891bfec99f136371c4b9174f377080062382ee7f6790a.wav,112940,auf der weide grasen auch ziegen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/1860ed529c6e1cf6b3f8b22be45e0cea1d6daa819601f7b349fa9d5f21aa96f4cafeeb6622577b144f2d67fe2b6434c4f9ade1fb29b1b9a04a50acb658f63f8d.wav,163628,und meine damen und herren das alles rendern wir in echtzeit
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/3c8b1dad172804c38c2262075f34a1a1ba53adfde378e649b2cb6cd1d6d1f29ffb55d12b24e5eb2c000f0a4caae6d403cc5386d0b4cd86fb17fb6596e38f8755.wav,286508,diese wundersamen gewächse reichern mit der zeit giftige metalle aus dem boden an
